country,state,city,station,pollutant_id,pollutant_avg,KMeans,Agglo,DBSCAN,Anomaly
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",NH3,1.0,2,1,-1,1
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",NH3,11.0,2,1,-1,1
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",CO,65.0,0,3,-1,1
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",OZONE,8.0,0,3,-1,1
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",NH3,14.0,2,1,-1,1
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",SO2,3.0,2,1,-1,1
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",NH3,49.029335912314636,0,3,10,1
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",SO2,6.0,2,1,-1,1
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",NH3,12.0,2,1,-1,1
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",PM2.5,172.0,3,0,-1,1
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",NO2,18.0,2,1,-1,1
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",NO2,42.0,0,3,-1,1
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",NH3,49.029335912314636,0,3,11,1
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",NO2,10.0,2,1,-1,1
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",CO,16.0,2,3,-1,1
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",CO,29.0,0,3,-1,1
India,Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",PM10,64.0,0,3,-1,1
India,Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",SO2,5.0,2,1,-1,1
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",OZONE,2.0,2,3,-1,1
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",SO2,15.0,2,1,-1,1
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",PM2.5,49.029335912314636,0,3,10,1
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB",NH3,4.0,2,1,-1,1
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB",OZONE,29.0,4,4,-1,1
