country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",14-03-2025 10:00,23.8640158,78.80289321,PM10,24,215,98
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",14-03-2025 10:00,23.8640158,78.80289321,CO,42,111,97
India,Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",14-03-2025 10:00,24.58434363,80.8549414,NO2,75,75,75
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",14-03-2025 10:00,19.10122,74.73339,NH3,2,13,8
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",14-03-2025 10:00,20.719516,77.000253,NH3,6,10,7
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",14-03-2025 10:00,20.719516,77.000253,SO2,10,26,14
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",14-03-2025 10:00,20.719516,77.000253,OZONE,14,109,18
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",14-03-2025 10:00,23.163174,79.973061,PM2.5,17,92,40
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",14-03-2025 10:00,23.163174,79.973061,CO,12,77,54
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",14-03-2025 10:00,23.142888,79.916147,NO2,18,106,47
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",14-03-2025 10:00,23.142888,79.916147,SO2,4,14,9
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",14-03-2025 10:00,22.624758,75.675238,PM10,75,220,126
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",14-03-2025 10:00,23.168606,79.932247,PM2.5,18,343,111
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",14-03-2025 10:00,23.168606,79.932247,PM10,62,230,122
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",14-03-2025 10:00,23.218135,79.95777,PM10,40,405,129
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",14-03-2025 10:00,23.50016,80.23284,NH3,3,6,5
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",14-03-2025 10:00,20.9402359,77.7895248,NO2,6,62,22
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amaravati - MPCB",14-03-2025 10:00,20.939198,77.765701,CO,30,125,57
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",14-03-2025 10:00,19.87562,75.38731,PM2.5,46,246,85
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",14-03-2025 10:00,19.87562,75.38731,NO2,5,83,22
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",14-03-2025 10:00,19.8389439,75.244448,CO,30,45,42
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",14-03-2025 10:00,19.863756,75.321188,SO2,32,86,46
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",14-03-2025 10:00,19.16485,73.23409,PM2.5,81,250,151
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",14-03-2025 10:00,19.16485,73.23409,PM10,90,196,129
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",14-03-2025 10:00,19.16485,73.23409,SO2,14,41,24
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",14-03-2025 10:00,19.16485,73.23409,OZONE,1,247,6
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",14-03-2025 10:00,19.0243902,73.0406721,NH3,8,17,10
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",14-03-2025 10:00,19.854616,75.905894,SO2,2,4,3
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",14-03-2025 10:00,19.25292,73.142019,PM2.5,70,269,170
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",14-03-2025 10:00,19.25292,73.142019,SO2,5,9,7
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",14-03-2025 10:00,19.192056,72.9585188,NH3,1,2,1
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",14-03-2025 10:00,20.555712,74.529236,OZONE,8,86,39
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",14-03-2025 10:00,19.296481,72.840923,NO2,6,67,27
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",14-03-2025 10:00,19.296481,72.840923,CO,18,78,62
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",14-03-2025 10:00,20.918946,74.776388,OZONE,39,118,50
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",14-03-2025 10:00,21.001264,75.565602,PM2.5,89,448,201
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",14-03-2025 10:00,21.001264,75.565602,NO2,14,82,42
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",14-03-2025 10:00,19.309073,73.057223,OZONE,7,151,11
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",14-03-2025 10:00,19.786089,72.757971,SO2,11,69,26
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",14-03-2025 10:00,19.786089,72.757971,CO,16,60,33
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",14-03-2025 10:00,20.555712,74.529236,PM2.5,57,387,142
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",14-03-2025 10:00,20.555712,74.529236,NO2,40,47,44
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",14-03-2025 10:00,18.1023399,73.4783687,NH3,2,9,5
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",14-03-2025 10:00,18.1023399,73.4783687,SO2,1,112,20
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",14-03-2025 10:00,19.9775302,79.2337086,PM10,44,121,85
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",14-03-2025 10:00,19.11074,72.86084,CO,1,64,26
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",14-03-2025 10:00,19.0364585,72.8954371,SO2,1,101,14
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",14-03-2025 10:00,19.0364585,72.8954371,CO,20,62,41
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",14-03-2025 10:00,19.10078,72.87462,PM10,82,115,97
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",14-03-2025 10:00,19.10078,72.87462,SO2,16,25,21
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",14-03-2025 10:00,18.91,72.82,PM2.5,22,45,30
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",14-03-2025 10:00,18.91,72.82,PM10,78,146,98
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",14-03-2025 10:00,19.083694,72.920967,SO2,3,108,19
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",14-03-2025 10:00,19.083694,72.920967,CO,10,48,35
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",14-03-2025 10:00,19.2058,72.8682,PM2.5,81,92,85
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",14-03-2025 10:00,19.2243333,72.8658113,NO2,15,81,34
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",14-03-2025 10:00,18.9767,72.838,PM2.5,72,154,102
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",14-03-2025 10:00,19.065931,72.862131,OZONE,1,88,10
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",14-03-2025 10:00,19.23241,72.86895,PM2.5,NA,NA,NA
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",14-03-2025 10:00,19.04946,72.923,OZONE,1,99,8
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",14-03-2025 10:00,19.083694,72.920967,PM2.5,66,174,113
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",14-03-2025 10:00,19.23241,72.86895,OZONE,1,75,7
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",14-03-2025 10:00,19.04946,72.923,PM10,135,204,157
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",14-03-2025 10:00,18.91,72.82,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",14-03-2025 10:00,19.1878657,72.8304069,NH3,1,7,3
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",14-03-2025 10:00,19.1878657,72.8304069,OZONE,3,40,5
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",14-03-2025 10:00,19.19709,72.82204,PM10,71,186,123
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",14-03-2025 10:00,19.19709,72.82204,NO2,NA,NA,NA
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",14-03-2025 10:00,18.96702,72.84214,PM10,99,166,119
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",14-03-2025 10:00,18.96702,72.84214,CO,18,85,62
